"Business","Trade Name","Address","Town","latitude","longitude","marker-size","marker-color","marker-symbol"
"RITE AID #4162","RITE AID #4162","119 BRIDGTON ROAD","FRYEBURG",44.0194937,-70.9638203,"small","#4f4","alcohol-shop"
"CENTER LOVELL MARKET II","CENTER LOVELL MARKET II","1007 MAIN STREET","LOVELL",44.175343,-70.893308,"small","#4f4","alcohol-shop"
"WESTONS FARM, LLC","WESTONS FARM, LLC","48 RIVER STREET","FRYEBURG",44.0162348,-70.9875483,"small","#4f4","alcohol-shop"
"LIL  MART FRYEBURG","LIL  MART FRYEBURG","501 MAIN STREET","FRYEBURG",44.0147378,-70.9832357,"small","#4f4","alcohol-shop"
"WILLYS MARKET","WILLYS MARKET","1060 ROUTE 109","ACTON",43.5233715,-70.8870852,"small","#4f4","alcohol-shop"
"MOBIL ON THE RUN FRYEBURG","MOBIL ON THE RUN FRYEBURG","496 MAIN STREET","FRYEBURG",44.0147378,-70.9832357,"small","#4f4","alcohol-shop"
"GOOD BEER STORE, THE","GOOD BEER STORE, THE","285 MAIN STREET	 SUITE 6","FRYEBURG",44.1300718,-70.8906452,"small","#4f4","alcohol-shop"
"BEAS MARKETPLACE, LLC","BEAS MARKETPLACE, LLC","14 PORTLAND STREET","FRYEBURG",44.0165424,-70.979926,"small","#4f4","alcohol-shop"
"LAKESIDE MARKET","LAKESIDE MARKET","411 SOKOKIS TRAIL","EAST WATERBORO",43.5879656,-70.7064575,"small","#4f4","alcohol-shop"
"LOVELL VILLAGE STORE RESTAURANT","LOVELL VILLAGE STORE RESTAURANT","234 MAIN STREET","LOVELL",44.127465,-70.892011,"small","#4f4","alcohol-shop"
"JDS PACKAGE STORE, INC.","JDS PACKAGE STORE, INC.","13 SOKOKIS TRAIL","EAST WATERBORO",43.5730698,-70.6825118,"small","#4f4","alcohol-shop"
"FOUR CORNER STORE","FOUR CORNER STORE","2 SEBAGO ROAD","HIRAM",43.8831074,-70.7957561,"small","#4f4","alcohol-shop"
"SAMAIYRA MART","SAMAIYRA MART","628 PEQUAKWET TRAIL","BROWNFIELD",43.9454408,-70.8888474,"small","#4f4","alcohol-shop"
"VILLAGE VARIETY","VILLAGE VARIETY","27 FEDERAL ROAD","PARSONSFIELD",43.8066949,-70.8828854,"small","#4f4","alcohol-shop"
"PEQUAWKET TRAIL GENERAL STORE","PEQUAWKET TRAIL GENERAL STORE","256 PEQUAWKET TRAIL","EAST BALDWIN",43.8645864,-70.7948016,"small","#4f4","alcohol-shop"
"C E WICKED GOOD STORE RESTAURANT","C E WICKED GOOD STORE RESTAURANT","360 MAIN STREET","LOVELL",44.136284,-70.888666,"small","#4f4","alcohol-shop"
"ACTON TRADING POST, THE","ACTON TRADING POST, THE","57 ROUTE 109","ACTON",43.5038455,-70.8584001,"small","#4f4","alcohol-shop"
"JIMBOBS PLACE","JIMBOBS PLACE","43 EAST  MAIN STREET","DENMARK",43.970905,-70.799321,"small","#4f4","alcohol-shop"
"LIMERICK VILLAGE VARIETY","LIMERICK VILLAGE VARIETY","32 MAIN STREET","LIMERICK",43.6854727,-70.7925382,"small","#4f4","alcohol-shop"
"KEZAR FALLS MARKET","KEZAR FALLS MARKET","17 BRIDGE STREET","PORTER",43.8081018,-70.8887159,"small","#4f4","alcohol-shop"
"LIMERICK SUPERMARKET","LIMERICK SUPERMARKET","54 CENTRAL  AVENUE - ROUTE 11","LIMERICK",44.3170592,-69.9380205,"small","#4f4","alcohol-shop"
"QUINNS JOCKEY CAP MOTEL AND COUNTRY STORE","QUINNS JOCKEY CAP MOTEL AND COUNTRY
STORE","116 BRIDGETON ROAD","FRYEBURG",44.0223798,-70.9492997,"small","#4f4","alcohol-shop"
"SEVERANCE LODGE CLUB INC.","SEVERANCE LODGE CLUB INC.","100 SEVERANCE LODGE ROAD","CENTER LOVELL",44.1923706,-70.8961655,"small","#f44","restaurant"
"PLEASANT POINT INN","PLEASANT POINT INN","145 PLEASANT POINT ROAD","CENTER LOVELL",44.176771,-70.906835,"small","#f44","restaurant"
"SPICE GRAIN, LLC","SPICE GRAIN, LLC","17 PORTLAND ST.","FRYEBURG",44.0164538,-70.9797914,"small","#4f4","alcohol-shop"
"WOODLAND ACRES CAMPGROUND","WOODLAND ACRES CAMPGROUND","33 WOODLAND ACRES DRIVE","BROWNFIELD",43.9554634,-70.8843851,"small","#4f4","alcohol-shop"
"KEZAR LAKE MARINA RESTAURANT","KEZAR LAKE MARINA RESTAURANT","WEST LOVELL ROAD","LOVELL",44.1916345,-70.9127096,"small","#f44","restaurant"
"LAKE KEZAR COUNTRY CLUB","LAKE KEZAR COUNTRY CLUB","578 MAIN STREET","LOVELL",44.146988,-70.891597,"small","#f44","restaurant"
"DS FAMILY PIZZERIA","DS FAMILY PIZZERIA","113 BRIDGTON ROAD","FRYEBURG",44.0200142,-70.9640156,"small","#f44","restaurant"
"PEPPERMILL FOOD SPIRITS","PEPPERMILL FOOD SPIRITS","171 WASHINGTON STREET","LIMERICK",43.6974925,-70.7858538,"small","#f44","restaurant"
"QUISISANA CORP II","QUISISANA CORP II","42 QUISISANA DRIVE","CENTER LOVELL",44.177091,-70.900564,"small","#f44","restaurant"
"STONE MOUNTAIN ARTS CENTER AND CAFE","STONE MOUNTAIN ARTS CENTER AND CAFE","695 DUGWAY ROAD","BROWNFIELD",43.9079542,-70.9445532,"small","#f44","restaurant"
"CLIPPER MERCHANT TEA HOUSE","CLIPPER MERCHANT TEA HOUSE","58 MAIN STREET","LIMERICK",43.6854727,-70.7925382,"small","#f44","restaurant"
"LEES FAMILY RESTAURANT","LEES FAMILY RESTAURANT","199 SOKOKIS TRAIL","EAST WATERBORO",43.5813806,-70.696308,"small","#f44","restaurant"
"PROVINCE LAKE GOLF","PROVINCE LAKE GOLF","18 MOUNTAIN ROAD","PARSONSFIELD",43.6838519,-70.944777,"small","#f44","restaurant"
"FRYEBURG HOUSE OF PIZZA","FRYEBURG HOUSE OF PIZZA","11  PORTLAND ST","FRYEBURG",44.0165525,-70.9800216,"small","#f44","restaurant"
"SACO VALLEY SPORTS CENTER","SACO VALLEY SPORTS CENTER","95 PINE STREET","FRYEBURG",44.0199326,-70.9692916,"small","#f44","restaurant"
"THRIFTWAY SUPERMARKET","THRIFTWAY SUPERMARKET","111  BRIDGTON ROAD","FRYEBURG",44.0200142,-70.9640156,"small","#4f4","alcohol-shop"
"CENTER LOVELL INN","CENTER LOVELL INN","1107 MAIN STREET","LOVELL",44.182277,-70.889709,"small","#f44","restaurant"
"OXFORD HOUSE INN, THE","OXFORD HOUSE INN, THE","548 MAIN STREET","FRYEBURG",44.0162868,-70.981857,"small","#f44","restaurant"
"CAMP CAMP","CAMP CAMP","481 BROWNFIELD ROAD","PORTER",43.841288,-70.8941219,"small","#f44","restaurant"
"BLAST FROM THE PAST","BLAST FROM THE PAST","114 SOKOKIS TRAIL","EAST WATERBORO",43.5759893,-70.6901392,"small","#f44","restaurant"
"STRIKE AND SPARE","STRIKE AND SPARE","135 FEDERAL STREET","PARSONSFIELD",43.806687,-70.8820405,"small","#f44","restaurant"
"BACK BURNER, THE","BACK BURNER, THE","109 MAIN STREET","BROWNFIELD",43.9413782,-70.8977607,"small","#f44","restaurant"
"CRABBY BEAR, THE","CRABBY BEAR, THE","1076 ROUTE 109","ACTON",43.5234129,-70.8871329,"small","#f44","restaurant"
"TWO BLACK DOGS COUNTRY PUB","TWO BLACK DOGS COUNTRY PUB","2 JOCKEY CAP LANE","FRYEBURG",44.0041029,-71.0407021,"small","#f44","restaurant"
"EBENEZERS RESTAURANT PUB","EBENEZERS RESTAURANT PUB","44 ALLEN AVENUE","LOVELL",44.1515281,-70.8924891,"small","#f44","restaurant"
"SHED, THE","SHED, THE","1060 ROUTE 109","ACTON",43.5233715,-70.8870852,"small","#f44","restaurant"
"302 WEST SMOKEHOUSE TAVERN","302 WEST SMOKEHOUSE TAVERN","636 MAIN STREET","FRYEBURG",44.1524019,-70.8911798,"small","#f44","restaurant"
"IRON TAILS SALOON","IRON TAILS SALOON","559 ROUTE 109","ACTON",43.4901502,-70.8345048,"small","#f44","restaurant"
"APPLES ACRES FARM","APPLES ACRES FARM","363 DURGINTOWN ROAD","HIRAM",43.8268545,-70.8228243,"small","#4f4","alcohol-shop"
"K D CORNER STORE","K D CORNER STORE","185 WAKEFIELD ROAD","WEST NEWFIELD",43.6439322,-70.9245484,"small","#4f4","alcohol-shop"
"OLD SACO INN, THE","OLD SACO INN, THE","125 OLD SACO LANE","FRYEBURG",44.1137112,-70.9241314,"small","#f44","restaurant"